event_type,guest_count,food_cost,labor_hours,beverage_cost,equipment_cost,season,revenue
Networking,279,6529,59,1430,402,Winter,12306.277340088383
Wedding,176,2141,36,552,410,Summer,5114.962284629816
Networking,125,7979,148,1102,307,Winter,16341.961015360435
Networking,286,2810,80,1555,717,Spring,8401.117068089985
Wedding,354,1723,190,1061,545,Summer,10639.370143524633
Wedding,33,1224,123,1948,769,Winter,7822.975524508617
Networking,45,5627,61,358,732,Spring,12601.865737515327
Corporate,309,5208,44,1156,154,Summer,11577.654047931586
Networking,365,7283,58,223,111,Summer,12401.462086515552
Networking,276,5654,54,603,756,Winter,10883.600539393768
Networking,287,3048,150,1004,499,Summer,9179.701193185498
Networking,189,7233,127,715,747,Spring,14773.318805806597
Wedding,369,5749,191,931,614,Summer,15544.307394507843
Networking,181,5415,198,1587,755,Spring,15787.614684785034
Corporate,207,2573,121,1605,641,Summer,8891.994565070794
Wedding,192,2828,117,731,336,Winter,6865.037077876721
Corporate,62,2917,31,1155,378,Spring,7058.478767822212
Corporate,208,5234,38,351,447,Summer,9244.347820938669
Corporate,130,7988,120,1785,726,Summer,17727.302304417906
Corporate,297,3026,63,1912,203,Summer,8936.36182869808
Wedding,352,7402,68,1146,729,Spring,12478.297138612137
Wedding,94,4744,36,807,616,Spring,8128.725396290875
Corporate,197,1901,93,1840,971,Spring,10749.043076805188
Corporate,359,5785,76,619,347,Winter,11195.389493300383
Wedding,72,3039,74,1473,463,Winter,6167.96689760247
Wedding,73,1009,66,1340,420,Spring,3783.5598204837474
Wedding,314,1260,31,1065,732,Summer,7232.667368641433
Networking,41,7038,81,1735,385,Winter,14384.50253973016
Networking,124,2673,99,1963,248,Spring,10271.915244897156
Networking,331,3219,102,777,183,Summer,8633.317998337205
Corporate,282,3060,27,534,505,Winter,5976.332962501029
Networking,271,6287,168,1641,555,Summer,16985.645470763095
Corporate,64,4713,100,1131,842,Summer,9468.543324643713
Corporate,244,2619,137,1997,899,Summer,9297.667380143397
Networking,366,1320,44,494,260,Summer,3466.4489878604395
Corporate,119,2342,108,954,883,Winter,6986.195601730392
Networking,293,6732,31,1594,559,Winter,12819.922211496027
Networking,122,3376,162,385,649,Winter,11143.613045682827
Wedding,119,3832,78,1469,599,Spring,10251.83672133598
Networking,144,3824,173,836,837,Winter,13315.51703550959
Wedding,134,2994,128,1491,608,Summer,10344.375284351745
Networking,225,3958,45,1866,753,Winter,11121.960831494527
Networking,343,7039,66,1460,903,Summer,14889.729699871501
Wedding,143,3038,51,729,580,Spring,6754.524516640217
Wedding,104,4490,29,1775,762,Summer,11908.768055541888
Networking,246,4677,35,220,213,Summer,7679.449712063933
Corporate,306,2118,164,1110,848,Summer,9885.6448231243
Wedding,278,2604,170,1960,677,Spring,12021.597363224473
Corporate,193,7461,45,1066,460,Winter,14943.192704470857
Corporate,386,5027,105,993,440,Winter,10675.65732977998
Corporate,221,1235,154,1743,869,Spring,9801.950405828266
Wedding,256,2969,33,299,860,Summer,5604.34475389273
Corporate,206,5429,98,951,548,Winter,13148.203655349993
Wedding,128,2908,136,677,942,Spring,10145.773471049099
Corporate,65,1375,26,1822,934,Winter,6744.9306617798975
Networking,125,4530,156,1521,279,Spring,11622.096478900972
Networking,181,6256,134,1139,801,Summer,15569.829742734391
Wedding,180,3635,195,725,506,Winter,12839.693676408173
Networking,219,2570,91,533,765,Spring,7804.495783161741
Networking,253,3560,78,201,295,Winter,7037.083320395423
Corporate,66,6415,101,574,565,Winter,14377.54761432799
Wedding,297,4391,135,492,410,Winter,11116.81962810077
Corporate,398,3965,186,1036,361,Winter,10563.355736172305
Corporate,212,4643,165,1204,518,Spring,12207.910537683338
Corporate,42,6951,122,752,505,Summer,14408.105468773027
Corporate,308,6468,36,517,242,Spring,12994.418287639657
Corporate,246,4850,33,1725,441,Spring,11985.283086306215
Corporate,384,1872,178,580,415,Spring,9737.468531056677
Corporate,390,2252,171,1846,200,Summer,10320.560277683868
Wedding,315,7413,127,213,343,Winter,15840.994791779198
Networking,302,6947,64,703,589,Winter,12371.22059131411
Corporate,398,7941,117,430,111,Winter,15481.403098392771
Corporate,91,2314,150,1307,338,Summer,9612.832701649595
Corporate,113,5820,56,329,660,Winter,10175.90094269088
Corporate,397,7148,190,1966,141,Summer,18196.212089641867
Corporate,246,3898,187,1037,777,Winter,14307.739185804345
Corporate,371,1077,127,1368,693,Winter,7753.169784560627
Networking,216,3621,58,1090,528,Spring,9687.84520666412
Networking,48,5227,34,227,902,Summer,7502.693076567738
Corporate,206,1600,139,265,257,Spring,8033.668849152924
Networking,129,6868,23,1386,315,Spring,12700.577652247832
Wedding,262,2065,112,1452,769,Spring,7717.113685929957
Corporate,105,3136,172,460,561,Summer,9998.46214819007
Wedding,294,3449,160,1672,233,Summer,9951.177841719102
Wedding,313,3343,180,1647,166,Winter,12721.442061752143
Corporate,235,2863,35,659,947,Spring,6666.604277226207
Networking,252,2318,189,1899,106,Winter,9858.76918797393
Wedding,81,5711,127,500,625,Spring,12860.944934311636
Corporate,368,4597,145,1118,172,Summer,13169.315654576141
Wedding,396,7943,74,1526,498,Summer,16274.958400781221
Wedding,173,4762,189,486,504,Summer,11595.906230466533
Wedding,98,7565,53,1618,774,Spring,15930.480829741082
Wedding,128,6984,177,1233,677,Summer,16196.320045677374
Networking,54,6142,32,1930,958,Spring,11226.698968625184
Wedding,82,5670,160,829,229,Winter,15247.707212717178
Wedding,180,3190,37,469,565,Spring,7351.529874827689
Wedding,173,1992,179,791,305,Winter,8669.429336196587
Networking,86,3712,115,1828,887,Spring,11266.690485303303
Wedding,68,3192,142,1043,867,Winter,11940.379500733317
Wedding,138,2248,58,1061,365,Summer,9583.855150198406
Networking,210,4054,65,1584,636,Winter,10755.180518566516
Networking,71,5598,48,1480,892,Summer,11324.565317672124
Networking,215,5033,81,332,352,Summer,10205.634481132025
Wedding,252,2997,35,1499,921,Winter,8612.972672094049
Networking,151,5916,140,1999,388,Spring,12850.071693008133
Networking,162,4687,29,1906,263,Spring,10666.499201778117
Wedding,192,3151,177,1171,194,Spring,11206.525129493079
Networking,244,5018,172,712,881,Spring,14976.84219798722
Wedding,250,4110,122,512,932,Spring,12076.723302373055
Corporate,264,2970,103,775,209,Summer,8301.072160289536
Networking,360,1197,152,1085,435,Spring,8890.63690658036
Corporate,175,6765,84,1507,921,Summer,17104.678319038758
Wedding,268,3626,196,1344,337,Summer,12350.45145524446
Networking,105,7534,22,1330,480,Summer,14393.187078467749
Wedding,38,2202,192,886,535,Winter,7987.402646889424
Corporate,103,7697,161,1427,998,Winter,16929.726737558914
Wedding,282,6567,139,364,582,Summer,13564.30368599048
Networking,259,6742,177,504,124,Winter,14835.581695482946
